ticker,date,sector,n_headlines,vader_mean
AMD,2023-09-15,Tech,12,-0.16140833333333335
AMD,2023-09-18,Tech,10,0.25766
AMD,2023-09-19,Tech,8,0.151025
AMD,2023-09-20,Tech,8,-0.020674999999999992
AMD,2023-09-21,Tech,5,0.29725999999999997
AMD,2023-09-22,Tech,6,0.06233333333333333
AMD,2023-09-25,Tech,13,0.08272307692307691
AMD,2023-09-26,Tech,7,0.11294285714285712
AMD,2023-09-27,Tech,6,0.18264999999999998
AMD,2023-09-28,Tech,5,0.09878
AMD,2023-09-29,Tech,11,0.14330909090909089
AMD,2023-10-02,Tech,12,0.29092500000000004
AMD,2023-10-03,Tech,4,0.35432500000000006
AMD,2023-10-04,Tech,2,0.0
AMD,2023-10-05,Tech,6,0.21978333333333333
AMD,2023-10-06,Tech,7,0.1978
AMD,2023-10-09,Tech,9,0.029333333333333336
AMD,2023-10-10,Tech,10,0.19474
AMD,2023-10-11,Tech,10,0.30816000000000004
AMD,2023-10-12,Tech,8,0.135175
AMD,2023-10-13,Tech,6,0.07945
AMD,2023-10-16,Tech,12,0.190925
AMD,2023-10-17,Tech,19,0.0841578947368421
AMD,2023-10-18,Tech,12,-0.06187499999999999
AMD,2023-10-19,Tech,4,0.0
AMD,2023-10-20,Tech,6,0.23936666666666664
AMD,2023-10-23,Tech,9,0.10114444444444444
AMD,2023-10-24,Tech,11,0.20294545454545457
AMD,2023-10-25,Tech,5,0.19364
AMD,2023-10-26,Tech,5,0.19236
AMD,2023-10-27,Tech,11,0.28145454545454546
AMD,2023-10-30,Tech,13,0.10754615384615386
AMD,2023-10-31,Tech,17,0.2053
AMD,2023-11-01,Tech,23,0.18511304347826088
AMD,2023-11-02,Tech,9,0.24275555555555556
AMD,2023-11-03,Tech,5,0.05
AMD,2023-11-06,Tech,5,0.47294
AMD,2023-11-07,Tech,9,0.3762111111111111
AMD,2023-11-08,Tech,8,-0.001575000000000007
AMD,2023-11-09,Tech,5,0.50742
AMD,2023-11-10,Tech,4,0.262925
